jTitle, cName, Location, Time, jType, Level
Intermediate FullStack Developer (Remote) ,Equevu - ,Abu Dhabi- United Arab Emirates  ,3 hours ago ,Full Time ,Experienced
UI/UX Web Designer ,Nile Creations - ,Heliopolis- Cairo- Egypt  ,4 hours ago ,Full Time ,Experienced
React Developer ,Confidential - ,Cairo- Egypt  ,6 hours ago ,Full Time ,Experienced
Senior Front End Developer ,Qmind - ,Heliopolis- Cairo- Egypt  ,6 hours ago ,Full Time ,Experienced
Microsoft Consultant ,Shift Consulting - ,Lisbon- Portugal  ,6 hours ago ,Volunteering ,Entry Level
Senior UI/ UX Designer ,Qmind - ,Heliopolis- Cairo- Egypt  ,6 hours ago ,Full Time ,Experienced
Senior QA Tester ,Qmind - ,Heliopolis- Cairo- Egypt  ,6 hours ago ,Full Time ,Experienced
Senior Angular Developer ,RawafedTech - ,Nasr City- Cairo- Egypt  ,7 hours ago ,Full Time ,Experienced
Hotel IT Manager ,Basma Hotel - ,Aswan- Aswan- Egypt  ,8 hours ago ,Full Time ,Manager
.Net Team Leader ,International Advanced  - ,Nasr City- Cairo- Egypt  ,8 hours ago ,Full Time ,Manager
System Senior Engineer ,Kandil Industries - ,10th of Ramadan City- Cairo- Egypt  ,8 hours ago ,Full Time ,Experienced
Devops Engineer ,Egyptian Medical Syndicates Union - ,Garden City- Cairo- Egypt  ,8 hours ago ,Full Time ,Experienced
React Native Developer ,42 Group - ,Cairo- Egypt  ,8 hours ago ,Full Time ,Experienced
Database Administrator ,Egyptian Medical Syndicates Union - ,Garden City- Cairo- Egypt  ,8 hours ago ,Full Time ,Experienced
Senior Full Stack Developer ,Egyptian Medical Syndicates Union - ,Garden City- Cairo- Egypt  ,8 hours ago ,Full Time ,Experienced
